Setting,Peak,m_meas [Th],dm [Th],Resolving_Power_R
Res 6,N+,14.098,0.2481,56.83
Res 6,H2O+,18.321,0.2147,85.35
Res 6,N2+,28.394,0.2272,124.95
Res 6,O2+,32.548,0.253,128.63
Res 5,N+,14.173,0.4759,29.78
Res 5,H2O+,18.054,0.5145,35.09
Res 5,N2+,28.218,0.6167,45.75
Res 5,O2+,32.229,0.6598,48.85
Res 5,Ar+,41.049,0.0498,824.39
Res 4,N+,14.193,0.673,21.09
Res 4,H2O+,18.103,0.6401,28.28
Res 4,N2+,28.009,1.0032,27.92
Res 4,O2+,32.138,1.0407,30.88
Res 4,Ar+,39.915,0.3158,126.38
Res 3,N+,13.922,1.0235,13.6
Res 3,H2O+,17.705,1.382,12.81
Res 3,N2+,27.81,1.6111,17.26
Res 3,O2+,31.808,1.7306,18.38
Res 3,Ar+,40.104,1.4252,28.14
Res 2,N+,13.971,1.2873,10.85
Res 2,H2O+,17.274,1.5521,11.13
Res 2,N2+,27.491,2.2092,12.44
Res 2,O2+,30.872,2.5585,12.07
Res 2,Ar+,39.768,1.0973,36.24
